cell_id,root,geom,btag,horizon,scheme,n_obs,n_distinct_75,modal_75,modal_freq_75,n_distinct_90,modal_90,modal_freq_90,all_75,all_90,elapsed_s,s05_75_in_seed_set,s05_90_in_seed_set,s05_mcs75,s05_mcs90
ES/RTH/B0/1day/S-C_q0.90,ES,RTH,B0,1day,S-C_q0.90,140,1,M2_HAR|M3_HARJ|M4_HARQ,20,1,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK,20,"[""M2_HAR|M3_HARJ|M4_HARQ""]","[""M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK""]",1.1,True,True,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK
ES/RTH/B0/1h/S-B_q0.80,ES,RTH,B0,1h,S-B_q0.80,2181,1,M2_HAR|M4_HARQ,20,1,M2_HAR|M4_HARQ,20,"[""M2_HAR|M4_HARQ""]","[""M2_HAR|M4_HARQ""]",4.1,True,True,M2_HAR|M4_HARQ,M2_HAR|M4_HARQ
ES/RTH/B0/1h/S-B_q0.90,ES,RTH,B0,1h,S-B_q0.90,1091,1,M2_HAR|M4_HARQ,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,"[""M2_HAR|M4_HARQ""]","[""M2_HAR|M3_HARJ|M4_HARQ""]",2.9,True,True,M2_HAR|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES/RTH/B0/1h/S-C_q0.80,ES,RTH,B0,1h,S-C_q0.80,2181,1,M2_HAR|M3_HARJ|M4_HARQ,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,"[""M2_HAR|M3_HARJ|M4_HARQ""]","[""M2_HAR|M3_HARJ|M4_HARQ""]",4.1,True,True,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES/RTH/B0/1h/S-C_q0.90,ES,RTH,B0,1h,S-C_q0.90,1091,1,M2_HAR|M3_HARJ|M4_HARQ,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,"[""M2_HAR|M3_HARJ|M4_HARQ""]","[""M2_HAR|M3_HARJ|M4_HARQ""]",2.9,True,True,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES/RTH/B0/30min/S-B_q0.80,ES,RTH,B0,30min,S-B_q0.80,4463,1,M2_HAR|M3_HARJ|M4_HARQ,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,"[""M2_HAR|M3_HARJ|M4_HARQ""]","[""M2_HAR|M3_HARJ|M4_HARQ""]",6.1,True,True,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES/RTH/B0/30min/S-B_q0.90,ES,RTH,B0,30min,S-B_q0.90,2232,1,M2_HAR|M3_HARJ|M4_HARQ,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,"[""M2_HAR|M3_HARJ|M4_HARQ""]","[""M2_HAR|M3_HARJ|M4_HARQ""]",3.9,True,True,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES/RTH/B0/30min/S-C_q0.80,ES,RTH,B0,30min,S-C_q0.80,4463,1,M2_HAR|M3_HARJ|M4_HARQ,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,"[""M2_HAR|M3_HARJ|M4_HARQ""]","[""M2_HAR|M3_HARJ|M4_HARQ""]",6.3,True,True,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES/RTH/B0/30min/S-C_q0.90,ES,RTH,B0,30min,S-C_q0.90,2232,1,M2_HAR|M3_HARJ|M4_HARQ,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,"[""M2_HAR|M3_HARJ|M4_HARQ""]","[""M2_HAR|M3_HARJ|M4_HARQ""]",4.0,True,True,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES/RTH/B1/1day/S-B_q0.80,ES,RTH,B1,1day,S-B_q0.80,280,1,M2_HAR|M4_HARQ,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,"[""M2_HAR|M4_HARQ""]","[""M2_HAR|M3_HARJ|M4_HARQ""]",1.7,True,True,M2_HAR|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
